Date,Price,High,Low,Close,Adj Close,Volume
20240715,27.870001,28.309999,27.76,28.200001,28.097538,102800
20240716,28.58,29.15,28.33,28.82,28.715284,123900
20240717,28.790001,29.209999,28.5,29.07,28.964376,123100
20240718,28.889999,29.950001,28.889999,29.34,29.233395,102300
20240719,29.34,30.09,29.34,30.02,29.910925,185000
20240722,30.01,30.6,29.65,30.389999,30.279579,137300
20240723,30.34,30.889999,30.16,30.549999,30.438997,84900
20240724,30.52,31.139999,30.280001,30.379999,30.269615,64700
20240725,30.4,31.219999,30.4,30.92,30.807653,113300
20240726,31.450001,31.68,31.15,31.59,31.47522,108000
20240729,31.73,32.18,31.26,31.780001,31.66453,85200
20240730,31.98,32.450001,31.540001,31.98,31.863802,324100
20240731,31.73,32.560001,31.530001,32.060001,31.943514,134100
20240801,34.049999,35.0,31.91,32.389999,32.272312,271100
20240802,32.389999,32.389999,30.77,31.1,30.987,160100
20240805,30.01,30.01,28.85,29.139999,29.139999,153800
20240806,29.139999,29.75,29.0,29.4,29.4,110800
20240807,29.77,29.790001,28.790001,28.889999,28.889999,81300
20240808,29.799999,30.07,29.209999,30.0,30.0,79000
20240809,29.879999,30.049999,29.530001,30.01,30.01,203100
20240812,30.1,30.190001,29.75,29.99,29.99,93400
20240813,30.17,30.5,29.559999,30.34,30.34,154400
20240814,30.26,30.32,29.879999,30.200001,30.200001,95700
20240815,30.799999,31.26,30.5,31.139999,31.139999,105000
20240816,31.25,31.75,31.25,31.43,31.43,132300
20240819,31.26,31.48,31.02,31.299999,31.299999,80500
20240820,31.24,31.34,31.040001,31.33,31.33,73600
20240821,31.52,31.530001,31.129999,31.440001,31.440001,52000
20240822,31.459999,31.639999,31.27,31.35,31.35,76200
20240823,31.530001,32.360001,31.469999,32.299999,32.299999,87900
20240826,32.650002,32.880001,32.23,32.52,32.52,129400
20240827,32.389999,32.860001,32.34,32.66,32.66,69600
20240828,32.529999,33.07,32.529999,32.880001,32.880001,96500
20240829,33.09,33.099998,32.599998,32.889999,32.889999,89600
20240830,33.0,33.290001,32.77,33.150002,33.150002,173200
20240903,32.869999,33.18,32.560001,32.810001,32.810001,91600
20240904,32.869999,33.09,32.669998,33.009998,33.009998,92700
